location,size,total_sqft,bath,price,price_per_sqft
other,3,2045.0,4.0,154.0,7530.562347188264
Bellandur,3,1490.0,2.0,98.0,6577.181208053691
Banaswadi,7,6150.0,6.0,830.0,13495.934959349594
Mysore Road,2,883.0,2.0,40.0,4530.011325028313
Yeshwanthpur,1,671.0,1.0,36.85,5491.803278688524
Kammasandra,2,1156.0,2.0,32.0,2768.166089965398
Haralur Road,3,2017.0,3.0,125.0,6197.322756569162
Thigalarapalya,4,3122.0,6.0,235.0,7527.226137091608
Ramagondanahalli,3,1635.0,3.0,62.0,3792.0489296636088
other,7,4400.0,9.0,120.0,2727.2727272727275
Kanakpura Road,2,1296.0,2.0,89.0,6867.283950617284
other,6,2400.0,4.0,280.0,11666.666666666666
Budigere,2,1139.0,2.0,62.0,5443.371378402107
CV Raman Nagar,2,1230.0,3.0,47.0,3821.1382113821137
other,1,581.91,2.0,25.0,4296.197006409926
Binny Pete,2,1245.0,2.0,86.28,6930.120481927711
other,3,1158.0,2.0,85.0,7340.241796200346
Marathahalli,4,3951.0,4.0,220.0,5568.2105796001015
Electronic City,2,550.0,1.0,15.0,2727.2727272727275
Ramamurthy Nagar,1,360.0,1.0,26.0,7222.222222222223
Electronics City Phase 1,3,1350.0,3.0,55.0,4074.074074074074
Green Glen Layout,3,1670.0,3.0,120.0,7185.62874251497
Akshaya Nagar,3,1600.0,2.0,65.0,4062.5
Horamavu Banaswadi,2,1307.0,2.0,51.6,3947.972456006121
7th Phase JP Nagar,3,1050.0,2.0,57.0,5428.571428571428
Hennur Road,3,1703.0,3.0,101.0,5930.710510863182
Kaggalipura,3,1210.0,2.0,58.0,4793.388429752066
Electronic City,2,1025.0,2.0,29.6,2887.8048780487807
Haralur Road,2,1140.0,2.0,43.0,3771.9298245614036
7th Phase JP Nagar,3,1343.0,2.0,56.41,4200.297840655249
R.T. Nagar,3,1560.0,3.0,85.0,5448.717948717948
other,2,925.0,2.0,51.0,5513.513513513513
Kanakpura Road,3,1420.0,2.0,75.0,5281.69014084507
other,2,1415.0,2.0,110.0,7773.851590106007
other,2,1210.0,2.0,60.0,4958.677685950413
Yeshwanthpur,3,1852.0,3.0,160.0,8639.308855291576
Hoskote,3,1250.0,3.0,50.0,4000.0
9th Phase JP Nagar,2,1100.0,2.0,65.0,5909.090909090909
2nd Phase Judicial Layout,2,1150.0,2.0,40.25,3500.0
Jakkur,2,1100.0,2.0,53.35,4850.0
Magadi Road,2,1350.0,1.0,100.0,7407.407407407408
Panathur,3,1546.0,3.0,99.0,6403.622250970246
Ambedkar Nagar,2,1424.0,2.0,90.0,6320.224719101124
Bellandur,3,1398.0,3.0,68.0,4864.0915593705295
Indira Nagar,3,1650.0,3.0,200.0,12121.212121212122
HBR Layout,4,1200.0,4.0,120.0,10000.0
Brookefield,3,1476.0,3.0,105.0,7113.821138211382
other,2,500.0,2.0,70.0,14000.0
Magadi Road,3,1322.0,2.0,58.82,4449.3192133131615
other,2,432.0,2.0,40.0,9259.25925925926
other,2,1100.0,2.0,55.0,5000.0
other,4,4750.0,5.0,600.0,12631.578947368422
Sarjapur,3,1285.0,2.0,68.0,5291.828793774319
Ambalipura,2,1150.0,2.0,80.0,6956.521739130435
Thanisandra,3,1430.0,2.0,56.0,3916.083916083916
Marathahalli,3,1350.0,2.0,62.0,4592.592592592592
other,3,1350.0,3.0,195.0,14444.444444444445
Thubarahalli,2,1185.0,2.0,65.0,5485.232067510548
Bannerghatta Road,3,1760.0,3.0,67.0,3806.818181818182
other,4,2400.0,5.0,350.0,14583.333333333334
Kanakpura Road,2,900.0,2.0,41.0,4555.555555555556
Kanakpura Road,2,1297.0,2.0,105.0,8095.605242868157
other,3,1840.0,3.0,155.0,8423.91304347826
Ramamurthy Nagar,2,950.0,2.0,50.79,5346.315789473684
Chikkabanavar,5,1200.0,4.0,70.0,5833.333333333333
BTM 2nd Stage,2,950.0,2.0,52.0,5473.684210526316
Yeshwanthpur,2,1277.5,2.0,95.815,7500.1956947162425
Electronic City,3,1571.0,3.0,89.0,5665.1814131126675
Electronic City Phase II,2,1031.0,2.0,55.0,5334.62657613967
Whitefield,2,1485.0,2.0,90.0,6060.606060606061
Ananth Nagar,2,1109.0,2.0,60.0,5410.279531109108
Koramangala,3,2200.0,3.0,180.0,8181.818181818182
Whitefield,1,950.0,1.0,50.0,5263.1578947368425
Laggere,3,1200.0,2.0,150.0,12500.0
Hosa Road,2,1161.0,2.0,55.15,4750.215331610681
Basavangudi,3,2350.0,3.0,300.0,12765.95744680851
Electronic City Phase II,2,1003.0,2.0,40.6,4047.8564307078764
other,2,1350.0,2.0,185.0,13703.703703703704
9th Phase JP Nagar,2,1080.0,2.0,37.0,3425.925925925926
Hulimavu,2,1255.0,2.0,73.0,5816.733067729084
Banaswadi,2,1250.0,2.0,60.0,4800.0
Brookefield,4,1700.0,4.0,152.0,8941.176470588236
Ramamurthy Nagar,3,1200.0,2.0,66.0,5500.0
other,2,824.0,2.0,60.0,7281.553398058252
1st Phase JP Nagar,3,1875.0,3.0,167.0,8906.666666666666
Bommasandra Industrial Area,3,1320.0,2.0,38.12,2887.8787878787875
Kothanur,5,9600.0,5.0,550.0,5729.166666666667
Uttarahalli,3,1330.0,2.0,47.0,3533.8345864661655
Kaikondrahalli,3,1220.0,3.0,56.0,4590.163934426229
Electronic City,3,1111.0,3.0,50.0,4500.450045004501
Kothannur,2,1197.0,2.0,47.88,4000.0
Marathahalli,4,2519.0,5.0,185.0,7344.184200079397
other,3,1340.0,2.0,100.0,7462.686567164179
Old Madras Road,4,1450.0,3.0,132.0,9103.448275862069
Hoodi,3,1837.0,3.0,145.0,7893.304300489929
Haralur Road,4,1200.0,4.0,245.0,20416.666666666668
Kudlu Gate,2,1238.0,2.0,55.0,4442.64943457189
7th Phase JP Nagar,3,1405.0,2.0,59.01,4200.0
Doddaballapur,4,1690.0,3.0,80.0,4733.7278106508875
other,3,1620.0,2.0,110.0,6790.123456790124
Kanakpura Road,3,1673.0,3.0,115.0,6873.879258816497
Margondanahalli,2,1090.0,2.0,58.0,5321.100917431193
Varthur,2,1112.0,2.0,40.0,3597.122302158273
Marathahalli,3,1385.0,2.0,66.65,4812.274368231047
Electronic City Phase II,2,545.0,1.0,27.0,4954.128440366972
Subramanyapura,2,985.0,2.0,58.0,5888.324873096447
Kanakpura Road,1,825.0,1.0,36.29,4398.787878787879
Kanakpura Road,2,1080.0,2.0,37.8,3499.9999999999995
Hosa Road,2,1430.0,2.0,97.52,6819.580419580419
Kengeri Satellite Town,2,1050.0,2.0,43.0,4095.2380952380954
Kumaraswami Layout,4,2000.0,4.0,139.0,6950.0
Banashankari Stage VI,4,4800.0,4.0,190.0,3958.3333333333335
other,3,1533.0,3.0,115.0,7501.630789302022
other,4,2800.0,3.0,500.0,17857.14285714286
Malleshwaram,3,2610.0,3.0,399.0,15287.356321839081
Lakshminarayana Pura,3,1750.0,3.0,150.0,8571.42857142857
TC Palaya,3,1200.0,2.0,66.0,5500.0
Prithvi Layout,2,1352.0,2.0,87.5,6471.89349112426
Harlur,3,1754.0,3.0,125.0,7126.567844925884
other,3,1560.0,3.0,85.0,5448.717948717948
Bannerghatta,4,3012.0,6.0,268.0,8897.742363877822
Whitefield,4,3584.0,4.0,199.0,5552.455357142857
Channasandra,3,1470.0,2.0,90.0,6122.448979591837
9th Phase JP Nagar,2,1035.0,2.0,45.0,4347.826086956522
Whitefield,4,2400.0,5.0,329.0,13708.333333333334
Kammanahalli,2,1160.0,2.0,52.0,4482.758620689655
Jakkur,2,1100.0,2.0,52.0,4727.272727272727
Horamavu Agara,2,1170.0,2.0,38.0,3247.863247863248
Bannerghatta Road,1,595.0,1.0,31.83,5349.579831932773
HSR Layout,3,1650.0,3.0,110.0,6666.666666666667
1st Block Jayanagar,3,1875.0,2.0,235.0,12533.333333333334
other,4,800.0,4.0,80.0,10000.0
other,3,1375.0,2.0,48.06,3495.2727272727275
Ramagondanahalli,2,1235.0,2.0,46.8,3789.4736842105262
other,1,750.0,1.0,25.0,3333.3333333333335
7th Phase JP Nagar,3,1400.0,3.0,115.0,8214.285714285714
Poorna Pragna Layout,3,1270.0,2.0,50.79,3999.212598425197
Bannerghatta Road,2,1105.0,2.0,51.0,4615.384615384615
other,3,1375.0,2.0,85.0,6181.818181818182
Attibele,4,2168.0,4.0,95.0,4381.918819188192
Gottigere,8,1200.0,8.0,90.0,7500.0
Yelahanka,2,1065.0,2.0,40.84,3834.7417840375592
other,3,3800.0,3.0,580.0,15263.157894736842
Raja Rajeshwari Nagar,9,3125.0,9.0,350.0,11200.0
Whitefield,1,825.0,1.0,45.0,5454.545454545455
other,2,1095.0,2.0,40.0,3652.9680365296804
other,3,720.0,3.0,65.0,9027.777777777777
other,3,1440.0,2.0,60.33,4189.583333333333
Electronic City,2,870.0,2.0,39.5,4540.229885057472
Panathur,2,1195.0,2.0,84.0,7029.28870292887
other,2,1200.0,2.0,49.5,4125.0
Raja Rajeshwari Nagar,3,1530.0,3.0,61.2,4000.0
Padmanabhanagar,3,1708.0,2.0,90.5,5298.594847775175
other,2,975.0,2.0,43.0,4410.25641025641
KR Puram,2,750.0,2.0,25.0,3333.3333333333335
other,8,1200.0,8.0,190.0,15833.333333333334
Iblur Village,3,1920.0,3.0,130.0,6770.833333333333
Nagarbhavi,6,1200.0,5.0,240.0,20000.0
Thanisandra,2,1183.0,2.0,58.56,4950.126796280642
Kothanur,4,1140.0,4.0,90.0,7894.736842105263
Mico Layout,3,1550.0,2.0,65.0,4193.548387096775
Kaggadasapura,2,1110.0,2.0,53.0,4774.774774774774
other,8,1500.0,10.0,165.0,11000.0
Kaggadasapura,2,1105.0,2.0,38.67,3499.547511312217
Anekal,3,1800.0,3.0,68.0,3777.777777777778
other,5,2800.0,4.0,200.0,7142.857142857143
Bommanahalli,2,1000.0,2.0,29.9,2990.0
Prithvi Layout,2,1190.0,2.0,68.0,5714.285714285715
2nd Stage Nagarbhavi,4,1350.0,4.0,200.0,14814.814814814816
Hebbal,4,3067.0,4.0,230.0,7499.184871209651
Sarjapur  Road,3,1929.0,4.0,103.0,5339.554173146708
Ramamurthy Nagar,3,1525.0,3.0,100.0,6557.377049180328
Nehru Nagar,3,1775.0,3.0,110.0,6197.183098591549
Banashankari,2,1125.0,2.0,63.0,5600.0
other,2,900.0,2.0,42.0,4666.666666666667
Sarjapur  Road,2,1155.0,2.0,58.0,5021.645021645022
Hulimavu,4,1200.0,4.0,75.0,6250.0
Sonnenahalli,2,1268.0,2.0,73.0,5757.097791798107
other,3,1500.0,3.0,88.0,5866.666666666667
Electronic City,1,630.0,1.0,47.0,7460.31746031746
Seegehalli,3,1525.0,3.0,65.0,4262.295081967213
Kaggadasapura,2,1060.0,2.0,48.0,4528.301886792453
Lingadheeranahalli,3,1687.0,3.0,127.0,7528.156490812093
Thanisandra,3,1847.0,3.0,123.0,6659.447753113156
Begur Road,3,1410.0,2.0,53.0,3758.8652482269504
7th Phase JP Nagar,2,1075.0,2.0,42.99,3999.0697674418607
Rajaji Nagar,4,3526.0,4.0,492.0,13953.488372093023
BTM Layout,3,3000.0,3.0,338.0,11266.666666666666
Basavangudi,3,1500.0,2.0,143.0,9533.333333333334
other,2,1010.0,2.0,46.0,4554.455445544554
Haralur Road,3,1875.0,3.0,110.0,5866.666666666667
other,5,1200.0,6.0,137.0,11416.666666666666
Kanakpura Road,2,983.0,2.0,50.6,5147.5076297049845
Kasturi Nagar,2,1101.0,2.0,65.0,5903.723887375114
other,2,1140.0,2.0,76.0,6666.666666666667
Sarjapur  Road,2,1215.0,2.0,110.0,9053.497942386832
Kengeri Satellite Town,2,1007.0,2.0,42.0,4170.8043694141015
Bellandur,3,2039.0,3.0,168.0,8239.333006375675
Ulsoor,3,1020.0,3.0,110.0,10784.313725490196
other,2,1198.0,2.0,84.0,7011.686143572621
other,4,4000.0,4.0,520.0,13000.0
other,4,1470.0,4.0,34.5,2346.938775510204
other,2,1370.0,2.0,75.0,5474.4525547445255
other,2,1316.0,2.0,55.5,4217.325227963526
Kaggadasapura,3,1350.0,3.0,55.5,4111.111111111111
other,2,1050.0,2.0,43.0,4095.2380952380954
KR Puram,3,1128.76,3.0,47.405,4199.741309047096
Electronic City,2,921.0,2.0,34.0,3691.6395222584147
Kundalahalli,2,1010.0,2.0,49.27,4878.217821782178
KR Puram,2,1015.0,2.0,43.0,4236.453201970443
TC Palaya,3,1200.0,2.0,66.5,5541.666666666667
Lakshminarayana Pura,2,1179.0,2.0,75.0,6361.323155216285
Anjanapura,4,1850.0,4.0,86.0,4648.648648648648
Kammasandra,2,870.0,2.0,24.0,2758.6206896551726
Bellandur,3,1605.0,3.0,85.0,5295.95015576324
Banashankari Stage VI,4,2800.0,4.0,89.0,3178.5714285714284
Malleshwaram,3,2475.0,4.0,320.0,12929.29292929293
other,2,3000.0,2.0,510.0,17000.0
other,6,2400.0,7.0,110.0,4583.333333333333
other,2,1000.0,1.0,55.0,5500.0
Ramamurthy Nagar,2,1200.0,2.0,80.0,6666.666666666667
other,2,1200.0,2.0,125.0,10416.666666666666
Kammasandra,2,1200.0,2.0,66.0,5500.0
other,2,1200.0,2.0,50.0,4166.666666666667
Hennur,2,1255.0,2.0,57.5,4581.673306772908
Hosur Road,2,1085.0,2.0,30.38,2800.0
Kanakpura Road,3,1592.0,3.0,125.0,7851.75879396985
other,2,1313.0,2.0,58.27,4437.928408225438
Kogilu,3,1934.0,3.0,150.0,7755.946225439504
Harlur,2,1200.0,2.0,49.5,4125.0
Uttarahalli,6,3600.0,6.0,120.0,3333.3333333333335
Old Madras Road,2,935.0,2.0,45.0,4812.834224598931
Bommasandra,2,877.0,2.0,30.0,3420.752565564424
other,2,936.0,2.0,42.0,4487.179487179487
Nagasandra,3,1470.0,2.0,110.0,7482.993197278912
other,1,1050.0,1.0,70.0,6666.666666666667
Hennur Road,2,1232.0,2.0,69.61,5650.162337662337
Ambedkar Nagar,3,2225.0,4.0,169.0,7595.505617977528
other,3,1200.0,2.0,80.0,6666.666666666667
Dasarahalli,3,1901.0,3.0,119.0,6259.863229879011
Sarjapur  Road,3,1819.0,3.0,100.0,5497.526113249038
other,3,1464.0,3.0,56.0,3825.136612021858
Old Madras Road,4,3715.0,6.0,200.5,5397.039030955585
9th Phase JP Nagar,4,5000.0,4.0,290.0,5800.0
other,4,1200.0,4.0,169.0,14083.333333333334
other,2,1256.0,2.0,60.0,4777.070063694267
7th Phase JP Nagar,2,1100.0,2.0,44.0,4000.0
TC Palaya,4,4800.0,3.0,302.0,6291.666666666667
Kothanur,3,1435.0,3.0,70.0,4878.048780487805
6th Phase JP Nagar,4,3245.0,4.0,250.0,7704.160246533128
Sarjapur  Road,3,1845.0,4.0,110.0,5962.059620596206
Jigani,3,2400.0,4.0,130.0,5416.666666666667
HSR Layout,2,1140.0,2.0,46.0,4035.0877192982457
Ulsoor,2,1200.0,2.0,60.0,5000.0
Talaghattapura,3,2254.0,3.0,170.0,7542.147293700089
Frazer Town,3,1750.0,3.0,150.0,8571.42857142857
other,2,1020.0,2.0,37.0,3627.450980392157
Bommanahalli,1,515.0,1.0,25.0,4854.368932038835
Lingadheeranahalli,3,1893.0,3.0,140.0,7395.66825145272
other,3,3025.0,3.0,500.0,16528.92561983471
other,2,830.0,2.0,34.0,4096.385542168675
Singasandra,2,600.0,2.0,36.5,6083.333333333333
Bisuvanahalli,3,1075.0,2.0,90.0,8372.093023255815
other,4,3200.0,4.0,1200.0,37500.0
Kasavanhalli,2,1200.0,2.0,78.0,6500.0
Sarjapur  Road,2,1233.0,2.0,77.65,6297.6480129764805
Bannerghatta Road,2,1255.0,2.0,65.26,5200.000000000001
Begur Road,2,1200.0,2.0,37.8,3149.9999999999995
Varthur,3,2145.0,3.0,175.0,8158.508158508159
1st Phase JP Nagar,5,1500.0,5.0,85.0,5666.666666666667
Kothannur,2,740.0,2.0,34.0,4594.594594594595
Kengeri,3,1250.0,3.0,48.0,3840.0
other,2,1210.0,2.0,40.0,3305.785123966942
Sarjapur  Road,3,1525.0,2.0,60.0,3934.4262295081967
Kogilu,1,540.0,1.0,36.0,6666.666666666667
Tumkur Road,3,1240.0,2.0,84.0,6774.193548387097
Subramanyapura,3,1245.0,2.0,68.0,5461.847389558233
other,3,1865.0,3.0,350.0,18766.756032171583
Hosa Road,2,1104.0,2.0,36.43,3299.81884057971
Bisuvanahalli,3,1075.0,2.0,35.99,3347.906976744186
Nagavara,2,2200.0,2.0,55.0,2500.0
Whitefield,2,1155.0,2.0,60.0,5194.805194805195
other,2,1520.0,2.0,62.0,4078.9473684210525
Thigalarapalya,4,3122.0,6.0,245.0,7847.533632286995
Harlur,2,1290.0,2.0,85.0,6589.147286821705
other,3,2300.0,3.0,80.0,3478.2608695652175
Kannamangala,4,3000.0,4.0,200.0,6666.666666666667
Whitefield,4,,4.0,270.0,
other,1,400.0,1.0,14.0,3500.0
Banashankari,3,1340.0,2.0,53.6,4000.0
Malleshwaram,2,900.0,2.0,95.0,10555.555555555555
Rajaji Nagar,6,1800.0,4.0,324.0,18000.0
Hennur Road,2,987.0,2.0,49.0,4964.5390070921985
Old Madras Road,3,1720.0,3.0,100.0,5813.953488372093
Hebbal,2,1040.0,2.0,50.0,4807.692307692308
Anandapura,2,900.0,2.0,64.0,7111.111111111111
Raja Rajeshwari Nagar,2,1030.0,2.0,50.0,4854.368932038835
Neeladri Nagar,3,2556.0,3.0,133.0,5203.442879499217
Basavangudi,3,1850.0,3.0,168.0,9081.081081081082
Kaval Byrasandra,4,750.0,4.0,110.0,14666.666666666666
Balagere,2,1028.0,2.0,31.86,3099.2217898832687
7th Phase JP Nagar,2,1270.0,2.0,83.0,6535.433070866142
Sahakara Nagar,3,1655.0,3.0,115.0,6948.640483383686
Electronics City Phase 1,2,940.0,2.0,40.0,4255.31914893617
Domlur,2,1050.0,2.0,85.0,8095.238095238095
other,4,600.0,4.0,40.0,6666.666666666667
other,2,946.0,2.0,38.0,4016.913319238901
CV Raman Nagar,3,1726.0,3.0,145.0,8400.92699884125
Sarakki Nagar,3,2121.0,4.0,253.0,11928.335690711929
Vittasandra,2,1404.0,2.0,75.0,5341.880341880342
Sarjapur,3,1525.0,2.0,48.0,3147.5409836065573
Kengeri,2,1025.0,2.0,57.0,5560.975609756098
other,5,1575.0,4.0,150.0,9523.809523809523
other,2,860.0,1.0,43.0,5000.0
Talaghattapura,3,1223.0,2.0,42.81,3500.408830744072
other,4,3750.0,3.0,550.0,14666.666666666666
Kothannur,2,1197.0,2.0,47.8,3993.316624895572
Garudachar Palya,2,1150.0,2.0,52.75,4586.95652173913
other,4,4800.0,5.0,629.0,13104.166666666666
R.T. Nagar,2,1040.0,2.0,46.0,4423.076923076923
Banashankari,2,1310.0,2.0,80.0,6106.8702290076335
Uttarahalli,3,1788.0,3.0,98.34,5500.0
Raja Rajeshwari Nagar,2,1144.0,2.0,38.55,3369.7552447552443
Anjanapura,2,1070.0,2.0,39.0,3644.8598130841124
other,2,1200.0,2.0,70.0,5833.333333333333
Ambedkar Nagar,3,1862.0,3.0,120.0,6444.68313641246
Margondanahalli,2,1200.0,2.0,58.5,4875.0
Begur Road,2,970.0,2.0,27.0,2783.505154639175
Kasavanhalli,3,1646.0,3.0,79.5,4829.890643985419
Sarjapur  Road,4,4395.0,4.0,242.0,5506.257110352673
other,5,1200.0,4.0,100.0,8333.333333333334
Iblur Village,3,1995.0,3.0,135.0,6766.917293233083
1st Block Jayanagar,4,2400.0,4.0,450.0,18750.0
Hosakerehalli,2,1085.0,2.0,47.74,4400.0
Budigere,2,1139.0,2.0,56.8,4986.830553116769
Haralur Road,2,1092.0,2.0,44.0,4029.3040293040294
Pattandur Agrahara,3,1767.0,3.0,98.0,5546.1233729485
other,3,1700.0,3.0,80.0,4705.882352941177
Bellandur,3,1692.0,3.0,88.0,5200.945626477542
6th Phase JP Nagar,3,1645.0,3.0,100.0,6079.0273556231
Uttarahalli,3,1345.0,2.0,57.0,4237.918215613383
other,2,1100.0,2.0,60.0,5454.545454545455
Gollarapalya Hosahalli,3,1408.0,3.0,62.0,4403.409090909091
Banashankari Stage III,4,2400.0,4.0,240.0,10000.0
Kadugodi,4,1920.0,4.0,200.0,10416.666666666666
other,5,6040.0,4.0,170.0,2814.569536423841
Thigalarapalya,3,2072.0,4.0,150.0,7239.382239382239
Malleshwaram,2,1420.0,2.0,158.0,11126.760563380281
Electronics City Phase 1,3,2040.0,3.0,137.0,6715.686274509804
Sarjapur  Road,3,1220.0,3.0,56.0,4590.163934426229
8th Phase JP Nagar,4,1200.0,4.0,145.0,12083.333333333334
other,2,1300.0,2.0,79.0,6076.923076923077
Electronics City Phase 1,2,1150.0,2.0,39.0,3391.304347826087
KR Puram,2,1470.0,2.0,86.0,5850.340136054422
Hosa Road,2,1063.0,2.0,31.9,3000.9407337723424
other,2,1311.0,2.0,48.0,3661.3272311212813
other,4,3500.0,4.0,350.0,10000.0
Nagarbhavi,4,600.0,2.0,100.0,16666.666666666668
other,3,1400.0,2.0,55.0,3928.5714285714284
Kanakpura Road,2,2200.0,2.0,62.0,2818.181818181818
Thanisandra,3,1430.0,2.0,56.0,3916.083916083916
Vidyaranyapura,2,1060.0,2.0,55.0,5188.679245283019
other,3,1000.0,2.0,110.0,11000.0
Sector 7 HSR Layout,3,1760.0,3.0,145.0,8238.636363636364
Whitefield,3,2010.0,3.0,92.0,4577.114427860696
Kanakpura Road,3,1480.0,2.0,64.23,4339.864864864865
8th Phase JP Nagar,3,1230.0,2.0,43.5,3536.5853658536585
Gottigere,3,1300.0,3.0,65.0,5000.0
other,4,800.0,4.0,120.0,15000.0
Frazer Town,4,4850.0,6.0,385.0,7938.144329896907
Singasandra,2,1100.0,2.0,52.0,4727.272727272727
Harlur,3,1752.12,3.0,116.0,6620.551103805676
Marathahalli,2,957.0,2.0,46.9,4900.73145245559
Balagere,1,790.5,1.0,41.9,5300.44275774826
other,3,1942.0,3.0,102.0,5252.317198764161
other,2,1000.0,2.0,53.0,5300.0
Yeshwanthpur,1,668.0,1.0,36.85,5516.4670658682635
other,5,3000.0,6.0,1000.0,33333.333333333336
Nagarbhavi,3,600.0,2.0,80.0,13333.333333333334
Uttarahalli,2,1089.0,2.0,43.55,3999.0817263544536
Thanisandra,3,1800.0,3.0,90.0,5000.0
Yelahanka New Town,1,960.0,2.0,18.0,1875.0
Yelahanka,2,1036.0,2.0,39.35,3798.262548262548
Marathahalli,3,1583.0,3.0,105.0,6632.975363234365
7th Phase JP Nagar,4,3300.0,4.0,150.0,4545.454545454545
Padmanabhanagar,2,1100.0,2.0,65.0,5909.090909090909
Thyagaraja Nagar,1,800.0,1.0,100.0,12500.0
Vittasandra,2,1246.0,2.0,65.0,5216.69341894061
Dodda Nekkundi,2,850.0,2.0,28.0,3294.1176470588234
Raja Rajeshwari Nagar,2,1196.0,2.0,51.51,4306.8561872909695
Thanisandra,3,1697.0,3.0,114.0,6717.737183264585
TC Palaya,2,1000.0,2.0,64.0,6400.0
HRBR Layout,3,1567.0,3.0,90.0,5743.458838544991
Anekal,2,1200.0,1.0,36.0,3000.0
Sarjapur  Road,4,3750.0,6.0,290.0,7733.333333333333
other,2,950.0,2.0,45.0,4736.8421052631575
other,2,1022.0,2.0,52.0,5088.062622309198
Kammasandra,2,1018.0,2.0,23.45,2303.5363457760313
other,4,2000.0,3.0,25.0,1250.0
Bharathi Nagar,2,1322.0,2.0,68.0,5143.721633888048
Marsur,4,1800.0,4.0,145.0,8055.555555555556
Doddakallasandra,3,1460.0,2.0,58.39,3999.3150684931506
other,2,990.0,2.0,44.55,4500.0
other,3,2400.0,3.0,260.0,10833.333333333334
Whitefield,3,1635.0,2.0,85.0,5198.7767584097855
Rajaji Nagar,4,3526.0,4.0,558.0,15825.2977878616
Padmanabhanagar,4,3400.0,3.0,210.0,6176.470588235294
other,3,2770.0,3.0,460.0,16606.49819494585
EPIP Zone,4,3035.0,5.0,200.0,6589.785831960461
other,3,1533.0,3.0,85.0,5544.683626875408
Akshaya Nagar,3,1720.0,3.0,134.0,7790.697674418605
Frazer Town,3,2000.0,3.0,200.0,10000.0
Yeshwanthpur,2,1185.0,2.0,75.84,6400.0
Varthur Road,2,900.0,2.0,27.0,3000.0
Attibele,1,395.0,1.0,10.25,2594.9367088607596
Electronic City Phase II,2,1031.0,2.0,56.35,5465.56741028128
other,6,2400.0,8.0,650.0,27083.333333333332
Thanisandra,4,2650.0,4.0,240.0,9056.603773584906
Basaveshwara Nagar,5,2400.0,5.0,415.0,17291.666666666668
Uttarahalli,3,1330.0,2.0,46.55,3500.0
Hennur,2,1259.0,2.0,57.0,4527.4027005559965
Raja Rajeshwari Nagar,3,1570.0,3.0,88.0,5605.095541401274
Bisuvanahalli,3,1075.0,2.0,36.0,3348.8372093023254
Whitefield,2,1216.0,2.0,79.0,6496.710526315789
Sarjapur  Road,3,1428.0,2.0,66.0,4621.848739495798
Begur Road,2,1160.0,2.0,40.59,3499.1379310344832
other,3,600.0,2.0,110.0,18333.333333333332
other,3,1475.0,3.0,70.0,4745.762711864407
Harlur,3,1754.0,3.0,135.0,7696.693272519954
Rayasandra,3,1639.0,3.0,83.0,5064.063453325199
Hennur Road,3,1804.0,3.0,102.0,5654.10199556541
Whitefield,3,1200.0,3.0,56.2,4683.333333333333
other,2,1135.0,2.0,55.0,4845.814977973569
Begur Road,2,1260.0,2.0,46.62,3700.0
other,5,1440.0,5.0,110.0,7638.888888888889
Hennur Road,3,2160.0,3.0,160.0,7407.407407407408
Rayasandra,7,700.0,6.0,85.0,12142.857142857143
Rachenahalli,2,1220.0,2.0,59.5,4877.049180327869
Margondanahalli,2,1200.0,2.0,67.0,5583.333333333333
Yelahanka,2,1300.0,2.0,65.0,5000.0
Cox Town,1,605.0,1.0,29.0,4793.388429752066
Vijayanagar,6,1230.0,4.0,210.0,17073.170731707316
Bhoganhalli,2,1444.0,2.0,75.97,5261.0803324099725
Amruthahalli,2,924.0,2.0,45.0,4870.12987012987
Kaikondrahalli,2,1000.0,2.0,30.0,3000.0
Vishveshwarya Layout,4,600.0,4.0,95.0,15833.333333333334
other,3,1200.0,3.0,225.0,18750.0
Bisuvanahalli,2,845.0,2.0,29.0,3431.9526627218934
Kanakpura Road,2,700.0,2.0,35.0,5000.0
Kothanur,2,1187.0,2.0,58.0,4886.2679022746415
Kaggadasapura,3,1625.0,3.0,55.0,3384.6153846153848
Devarachikkanahalli,2,1200.0,2.0,83.0,6916.666666666667
other,2,1452.55,2.0,110.0,7572.889057175313
other,3,2357.0,3.0,151.0,6406.448875689436
Kaval Byrasandra,2,1200.0,2.0,49.5,4125.0
Budigere,2,1139.0,2.0,56.85,4991.220368744513
Basavangudi,1,600.0,1.0,97.5,16250.0
Kanakpura Road,3,1660.0,3.0,75.0,4518.0722891566265
other,2,1170.0,2.0,105.0,8974.358974358975
Somasundara Palya,2,1448.0,2.0,68.0,4696.132596685083
Kadugodi,3,1762.0,3.0,110.0,6242.905788876277
Kaggadasapura,2,1105.0,2.0,38.65,3497.737556561086
Yelahanka,3,1825.0,3.0,105.0,5753.424657534247
Bhoganhalli,1,296.0,1.0,22.89,7733.108108108108
other,5,1200.0,4.0,85.0,7083.333333333333
Thanisandra,2,1185.0,2.0,43.0,3628.6919831223627
Electronic City Phase II,3,1320.0,2.0,38.12,2887.8787878787875
Hulimavu,2,1058.0,2.0,48.0,4536.862003780719
Bellandur,2,1220.0,2.0,60.0,4918.0327868852455
Sarjapur,2,925.0,2.0,25.0,2702.7027027027025
Old Madras Road,2,1200.0,2.0,72.0,6000.0
Kengeri,3,1160.0,2.0,40.6,3500.0
Kengeri Satellite Town,3,600.0,4.0,72.0,12000.0
other,3,1411.0,3.0,91.72,6500.3543586109145
